Nom,Longitude,Latitude
Centre hospitalier de Dunkerque,2.398335,51.037968
Fondation Hector Ott,7.414525,43.734734
Centre hopitalier de Chaumont,5.139952,48.120880
Clinique du Château,2.170280,48.992142
Centre Hospitalier de Brie-Comte-Robert,2.605594,48.692982
Institut Michel Fandre,4.011610,49.241158
Maison Médicale du Vexin,1.809976,48.987854
Ostéopathe,6.020599,47.242092
Centre de Psychiatrie Les Tournesols,1.057255,47.802048
Centre Hospitalier Spécialisé de Saint-Rémy et Nord Franche Comté - Centre de Psychiatrie Générale de Belfort,6.848000,47.631653
Centre médico-Psychologique pour enfants,1.097985,49.340332
Centre hospitalier d'Antrain,-1.478568,48.456314
Hôpital de la Charité,4.391328,45.432919
Centre Ssr le Château,4.804772,44.856297
Hôpital Inconnu,6.360932,44.576187
Clinique Ormeau Pyrénées,0.077539,43.218243
Accueil Marie Saint-Frai,-0.054359,43.095676
Hôpital local du Neubourg,0.906383,49.149132
Clinique des Oyats,1.896132,50.941448
Centre de Rééducation Fonctionnelle La Roseraie,1.562092,44.689110
Maternité Régionale Universitaire de Nancy,6.189626,48.681152
Hôpital Privé d’Ambérieu,5.350387,45.980476
Centre hospitalier départemental Georges Daumézon,1.943196,47.945427
Centre hospitalier Jura sud,5.605461,46.514519
Centre Hospitalier Bélair,4.719561,49.789974
Maison Médicale Valmy,5.050804,47.362034
Clinique d'Addictologie,-3.299465,48.629364
Centre de Réadaptation Château Walk,7.768969,48.793320
Hôpital privé Saint-Martin,-0.380566,49.198135
Centre Hospitalier de Quillan,2.184699,42.881470
Groupe Hospitalier Paul Guiraud - Site de Clamart,2.252453,48.786644
Clinique d'Occitanie,1.338266,43.465549
SSR Les Abeilles,3.485346,50.161396
Hôpital de Mauléon,-0.889935,43.217903
Centre Hospitalier de Saint-Dié-des-Vosges,6.964413,48.288906
Centre François Baclesse,-0.354169,49.203720
American Hospital of Paris,2.272238,48.892742
Hôpital Saint-Martin,-0.981737,47.202026
Centre thérapeutique de jour,7.330250,48.075199
Clinique Jeanne d'Arc,4.639804,43.676842
Clinique Les Sources,7.277756,43.741116
Clinique de la Plaine,3.108544,45.802444
Centre hospitalier de Saint-Calais,0.742610,47.918564
Centre Hospitalier Manhès,2.360245,48.627625
Hôpital Romain Rolland,2.373130,48.936806
Hôpital du Thillot,6.768823,47.876762
Centre hospitalier de Nogent-le-Rotrou,0.838971,48.315418
Clinique Ambulatoire de la Cèze,4.610540,44.154976
Clinique du Val d'Ouest,4.781340,45.768677
Centre Hospitalier intercommunal Alençon-Mamers,0.358647,48.360039
Hôpital Saint-Louis,2.367959,48.873676
Hôpital de jour & CMP Adultes CH Charles Perrens,-0.965910,44.639225
Institut Médical de Serris,2.783583,48.857098
Centre hospitalier de Commercy,5.588165,48.760376
Centre hospitalier intercommunal de la Lauter,7.932105,49.041519
GHPP,4.783393,44.568836
Centre hospitalier Paul Martinais,1.002384,47.130222
Hôpital Privé de la Loire,4.417973,45.428272
Centre de réadaptation CRF de Beaurouvre,1.276787,48.318752
Hôpital Psychiatrique Philippe Pinel,2.275614,49.870564
Centre hospitalier de Vallauris,7.058918,43.580490
Centre hospitalier du Haut-Bugey,5.630216,46.259686
Hôpital de la Mère et de l’Enfant,1.239826,45.813660
Centre hospitalier d'Arpajon,2.241247,48.584015
Hôpital local de Sancerre,2.838869,47.333206
Hôpital de Jour François Tosquelles,2.393096,51.041733
Centre hospitalier de Gray,5.586100,47.446255
Centre de Réadaptation Colmar,7.336430,48.090588
Centre médico-psychologique Adultes de Saint-Julien-en-Genevois,6.076735,46.144543
